Id	Name	Longitude	Latitude	Depth	RecentDate	OldestDate	Archive	DataType	Reference	DOI
112	-	52.5	-20	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1029/2006GL026561
113	-	50	-20	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1029/2006GL026562
114	-	48.6	-20	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1029/2006GL026563
115	-	47.1	-20	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1029/2006GL026564
116	-	46	-20	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1029/2006GL026565
117	-	44.5	-20	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1029/2006GL026566
118	-	42	-20	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1029/2006GL026567
119	-	40.5	-20	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1029/2006GL026568
120	-	39	-20	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1029/2006GL026569
121	-	37.5	-20	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1029/2006GL026570
122	-	36	-20	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1029/2006GL026571
123	-	34.2	-21	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1029/2006GL026572
124	-	32.5	-22	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1029/2006GL026573
125	-	31.1	-22.7	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1029/2006GL026574
126	-	30.7	-21.7	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1029/2006GL026575
127	-	30.9	-21.1	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1029/2006GL026576
128	-	29.1	-23.9	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1029/2006GL026577
129	-	27.5	-24.8	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1029/2006GL026578
130	-	26	-25.6	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1029/2006GL026579
131	-	24.4	-27.3	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1029/2006GL026580
132	-	23	-28.4	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1029/2006GL026581
133	-	21.1	-29	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1029/2006GL026582
134	-	19.5	-29	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1029/2006GL026583
135	-	18	-29	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1029/2006GL026584
136	-	16.3	-29	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1016/j.marchem.2005.06.004
137	-	15	-29	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1016/j.marchem.2005.06.005
138	-	13.4	-29	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1016/j.marchem.2005.06.006
139	-	11.7	-29	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1016/j.marchem.2005.06.007
140	-	10	-28.5	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1016/j.marchem.2005.06.008
141	-	8.7	-27.8	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1016/j.marchem.2005.06.009
142	-	7.5	-27.2	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1016/j.marchem.2005.06.010
143	-	5.7	-26.3	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1016/j.marchem.2005.06.011
144	-	4	-25.5	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1016/j.marchem.2005.06.012
145	-	2.3	-25	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1016/j.marchem.2005.06.013
146	-	1	-25	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1016/j.marchem.2005.06.014
147	-	-0.4	-25	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1016/j.marchem.2005.06.015
148	-	-2	-25	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1016/j.marchem.2005.06.016
149	-	-3	-25	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1016/j.marchem.2005.06.017
150	-	32.2	-64.45	0	0	0	Iron from dust sample	Iron	Sholkovitz et al., 2012	10.1016/j.marchem.2005.06.018
151	-	13.17	59.43	0	0	0	Iron from dust sample	Iron	Sholkovitz et al., 2012	10.1016/j.marchem.2005.06.019
152	-	10.8	-56.2	0	0	0	Iron from dust sample	Iron	Baker,2006 GRL	10.1016/j.marchem.2005.06.020
153	-	10.3	-52.6	0	0	0	Iron from dust sample	Iron	Baker,2006 GRL	10.1016/j.marchem.2005.06.021
154	-	10	-49.7	0	0	0	Iron from dust sample	Iron	Baker,2006 GRL	10.1016/j.marchem.2005.06.022
155	-	10	-46.4	0	0	0	Iron from dust sample	Iron	Baker,2006 GRL	10.1016/j.marchem.2005.06.023
156	-	10	-43.3	0	0	0	Iron from dust sample	Iron	Baker,2006 GRL	10.1016/j.marchem.2005.06.024
157	-	10	-40.3	0	0	0	Iron from dust sample	Iron	Baker,2006 GRL	10.1016/j.marchem.2005.06.025
158	-	10	-37.6	0	0	0	Iron from dust sample	Iron	Baker,2006 GRL	10.1016/j.marchem.2005.06.026
159	-	10	-34.8	0	0	0	Iron from dust sample	Iron	Baker,2006 GRL	10.1016/j.marchem.2005.06.027
160	-	10	-31.8	0	0	0	Iron from dust sample	Iron	Baker,2006 GRL	
161	-	10	-28.9	0	0	0	Iron from dust sample	Iron	Baker,2006 GRL	10.1029/2003JD003958
162	-	8.5	-26.9	0	0	0	Iron from dust sample	Iron	Baker,2006 GRL	10.1029/2003JD003959
163	-	5	-26.3	0	0	0	Iron from dust sample	Iron	Baker,2006 GRL	10.1029/2003JD003960
164	-	1.6	-26.1	0	0	0	Iron from dust sample	Iron	Baker,2006 GRL	10.1029/2003JD003961
165	-	0	-24.7	0	0	0	Iron from dust sample	Iron	Baker,2006 GRL	10.1029/2003JD003962
166	-	1	-23.5	0	0	0	Iron from dust sample	Iron	Baker,2006 GRL	10.1029/2003JD003963
167	-	7.2	-24.4	0	0	0	Iron from dust sample	Iron	Baker,2006 GRL	10.1029/2003JD003964
168	-	9.5	-24.7	0	0	0	Iron from dust sample	Iron	Baker,2006 GRL	10.1029/2003JD003965
169	-	10.8	-23.2	0	0	0	Iron from dust sample	Iron	Baker,2006 GRL	10.1029/2003JD003966
170	-	11.3	-20.2	0	0	0	Iron from dust sample	Iron	Baker,2006 GRL	10.1029/2003JD003967
171	-	11.1	-17.7	0	0	0	Iron from dust sample	Iron	Baker,2006 GRL	10.1029/2003JD003968
172	-	10.8	-18	0	0	0	Iron from dust sample	Iron	Baker,2006 GRL	10.1029/2003JD003969
173	-	11	-19.7	0	0	0	Iron from dust sample	Iron	Baker,2006 GRL	10.1029/2003JD003970
174	-	10.2	-19.7	0	0	0	Iron from dust sample	Iron	Baker,2006 GRL	10.1029/2003JD003971
175	-	8.2	-18	0	0	0	Iron from dust sample	Iron	Baker,2006 GRL	10.1029/2003JD003972
176	-	6.1	-15.4	0	0	0	Iron from dust sample	Iron	Baker,2006 GRL	10.1029/2003JD003973
177	-	4.7	-11.9	0	0	0	Iron from dust sample	Iron	Baker,2006 GRL	10.1029/2003JD003974
178	-	3.8	-8	0	0	0	Iron from dust sample	Iron	Baker,2006 GRL	10.1029/2003JD003975
179	-	3.6	-3.7	0	0	0	Iron from dust sample	Iron	Baker,2006 GRL	10.1029/2003JD003976
180	-	46.6	-7.9	0	0	0	Iron from dust sample	Iron	Baker,2006-Mar Chem	10.1029/2003JD003977
181	-	42	-11.3	0	0	0	Iron from dust sample	Iron	Baker,2006-Mar Chem	10.1029/2003JD003978
182	-	36.9	-14.5	0	0	0	Iron from dust sample	Iron	Baker,2006-Mar Chem	10.1029/2003JD003979
183	-	32.6	-16.1	0	0	0	Iron from dust sample	Iron	Baker,2006-Mar Chem	10.1029/2003JD003980
184	-	27.8	-17.5	0	0	0	Iron from dust sample	Iron	Baker,2006-Mar Chem	10.1029/2003JD003981
185	-	22.7	-18.3	0	0	0	Iron from dust sample	Iron	Baker,2006-Mar Chem	10.1029/2003JD003982
186	-	18	-18.5	0	0	0	Iron from dust sample	Iron	Baker,2006-Mar Chem	10.1029/2003JD003983
187	-	13.1	-18.4	0	0	0	Iron from dust sample	Iron	Baker,2006-Mar Chem	10.1029/2003JD003984
188	-	3.5	-16.8	0	0	0	Iron from dust sample	Iron	Baker,2006-Mar Chem	10.1029/2003JD003985
189	-	-1.2	-15.8	0	0	0	Iron from dust sample	Iron	Baker,2006-Mar Chem	10.1029/2003JD003986
190	-	-5.8	-14.9	0	0	0	Iron from dust sample	Iron	Baker,2006-Mar Chem	10.1029/2003JD003987
191	-	-5.1	-13.4	0	0	0	Iron from dust sample	Iron	Baker,2006-Mar Chem	10.1029/2003JD003988
192	-	-10.9	-14	0	0	0	Iron from dust sample	Iron	Baker,2006-Mar Chem	10.1029/2003JD003989
193	-	-9.8	-17	0	0	0	Iron from dust sample	Iron	Baker,2006-Mar Chem	10.1029/2003JD003990
194	-	-13.8	-22.6	0	0	0	Iron from dust sample	Iron	Baker,2006-Mar Chem	10.1029/2003JD003991
195	-	-17.7	-28.1	0	0	0	Iron from dust sample	Iron	Baker,2006-Mar Chem	10.1029/2003JD003992
196	-	-20.7	-32.3	0	0	0	Iron from dust sample	Iron	Baker,2006-Mar Chem	10.1029/2003JD003993
197	-	-23.6	-36.6	0	0	0	Iron from dust sample	Iron	Baker,2006-Mar Chem	10.1029/2003JD003994
198	-	-25.7	-39.6	0	0	0	Iron from dust sample	Iron	Baker,2006-Mar Chem	10.1029/2003JD003995
199	-	-29.6	-45.6	0	0	0	Iron from dust sample	Iron	Baker,2006-Mar Chem	10.1029/2003JD003996
200	-	-32.7	-50.4	0	0	0	Iron from dust sample	Iron	Baker,2006-Mar Chem	10.1029/2003JD003997
201	-	-34.5	-53.4	0	0	0	Iron from dust sample	Iron	Baker,2006-Mar Chem	10.1029/2003JD003998
202	-	-38.7	-56.2	0	0	0	Iron from dust sample	Iron	Baker,2006-Mar Chem	10.1029/2003JD003999
203	-	-47.1	-57	0	0	0	Iron from dust sample	Iron	Baker,2006-Mar Chem	10.1029/2003JD004000
204	-	36.8	-27.7	0	0	0	Iron from dust sample	Iron	Herut,unpublished, from Mahowald,2009	10.1029/2003JD004001
205	-	27.8	-75.5	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004002
206	-	28.1	-70.9	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004003
207	-	28.4	-66.9	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004004
208	-	28.6	-63.3	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004005
209	-	29.2	-55.2	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004006
210	-	29.5	-51.3	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004007
211	-	29.9	-48.2	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004008
212	-	29.6	-46.5	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004009
213	-	27.8	-45	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004010
214	-	25.3	-45	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004011
215	-	21.5	-45	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004012
216	-	16.8	-45	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004013
217	-	13.2	-45	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004014
218	-	10.2	-45.2	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004015
219	-	10.2	-46.5	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004016
220	-	10.5	-47.8	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004017
221	-	10.5	-47.8	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004018
222	-	10.5	-55.3	0	0	0	Iron from dust sample	Iron	Chen and Siefert,2004	10.1029/2003JD004019
