"Age (ka BP)"	"Dust MAR (g/m2/a)"	"Age error (ka)"	"DMAR error (g/m2/a)"	"Depth top (cm)"	"Depth bottom (cm)"	"Depth center (cm)"	"Age top (ka BP)"	"Age bottom (ka BP)"	"Age center (ka BP)"	"SBMAR (g/m2/a)"	"SBMAR rel err"	"SDBD (g/cm3)"	"SDBD rel err"	"SR (cm/ka)"	"SR rel err"	"EC (fraction)"	"EC (ppm)"	"EC rel err"
10.89	0.0062	0.11	0.00124	163051	163236	163144	10.875	10.904	10.89	0.17	0.01	NA	NA	NA	NA	NA	0.036	0.2
10.92	0.00725	0.111	0.00145	163236	163435	163336	10.904	10.933	10.919	0.169	0.01	NA	NA	NA	NA	NA	0.043	0.2
10.95	0.00604	0.111	0.00121	163435	163632	163534	10.933	10.962	10.947	0.167	0.01	NA	NA	NA	NA	NA	0.036	0.2
10.98	0.00619	0.111	0.00124	163632	163828	163730	10.962	10.991	10.976	0.166	0.01	NA	NA	NA	NA	NA	0.037	0.2
11	0.00556	0.111	0.00111	163828	164009	163919	10.991	11.019	11.005	0.165	0.01	NA	NA	NA	NA	NA	0.034	0.2
11.03	0.00788	0.112	0.00158	164009	164189	164099	11.019	11.048	11.034	0.164	0.01	NA	NA	NA	NA	NA	0.048	0.2
11.06	0.00718	0.112	0.00144	164189	164367	164278	11.048	11.077	11.063	0.163	0.01	NA	NA	NA	NA	NA	0.044	0.2
11.09	0.00656	0.112	0.00131	164367	164558	164463	11.077	11.106	11.091	0.162	0.01	NA	NA	NA	NA	NA	0.04	0.2
11.12	0.00717	0.113	0.00144	164558	164761	164660	11.106	11.135	11.12	0.162	0.01	NA	NA	NA	NA	NA	0.044	0.2
11.15	0.00584	0.113	0.00117	164761	164922	164842	11.135	11.163	11.149	0.161	0.01	NA	NA	NA	NA	NA	0.036	0.2
11.18	0.0066	0.114	0.00132	164922	165109	165016	11.163	11.192	11.178	0.161	0.01	NA	NA	NA	NA	NA	0.041	0.2
11.21	0.00712	0.113	0.00143	165109	165308	165209	11.192	11.221	11.207	0.16	0.01	NA	NA	NA	NA	NA	0.045	0.2
11.24	0.00661	0.114	0.00132	165308	165492	165400	11.221	11.25	11.235	0.158	0.01	NA	NA	NA	NA	NA	0.042	0.2
11.26	0.00827	0.114	0.00166	165492	165662	165577	11.25	11.279	11.264	0.155	0.01	NA	NA	NA	NA	NA	0.053	0.2
11.29	0.00805	0.114	0.00161	165662	165844	165753	11.279	11.307	11.293	0.153	0.01	NA	NA	NA	NA	NA	0.053	0.2
11.32	0.00989	0.115	0.00198	165844	166024	165934	11.307	11.336	11.322	0.151	0.01	NA	NA	NA	NA	NA	0.066	0.2
11.35	0.02117	0.115	0.00424	166012	166178	166095	11.336	11.365	11.351	0.149	0.01	NA	NA	NA	NA	NA	0.142	0.2
11.38	0.01433	0.116	0.00287	166178	166331	166255	11.365	11.394	11.379	0.148	0.01	NA	NA	NA	NA	NA	0.097	0.2
11.41	0.01375	0.115	0.00275	166331	166495	166413	11.394	11.423	11.408	0.148	0.01	NA	NA	NA	NA	NA	0.093	0.2
11.44	0.00838	0.116	0.00168	166495	166659	166577	11.423	11.451	11.437	0.149	0.01	NA	NA	NA	NA	NA	0.056	0.2
11.47	0.01079	0.116	0.00216	166659	166846	166753	11.451	11.48	11.466	0.15	0.01	NA	NA	NA	NA	NA	0.072	0.2
11.49	0.00833	0.116	0.00167	166846	167033	166940	11.48	11.509	11.495	0.149	0.01	NA	NA	NA	NA	NA	0.056	0.2
11.52	0.00522	0.117	0.00105	167033	167204	167119	11.509	11.538	11.523	0.146	0.01	NA	NA	NA	NA	NA	0.036	0.2
11.55	0.00535	0.117	0.00107	167204	167363	167284	11.538	11.567	11.552	0.141	0.01	NA	NA	NA	NA	NA	0.038	0.2
11.58	0.00841	0.117	0.00168	167363	167533	167448	11.567	11.596	11.581	0.132	0.01	NA	NA	NA	NA	NA	0.064	0.2
11.61	0.00773	0.118	0.00155	167533	167677	167605	11.596	11.624	11.61	0.122	0.01	NA	NA	NA	NA	NA	0.063	0.2
11.64	0.02289	0.118	0.00458	167677	167800	167739	11.624	11.653	11.639	0.11	0.01	NA	NA	NA	NA	NA	0.207	0.2
11.67	0.10363	0.119	0.02075	167800	167890	167845	11.653	11.682	11.668	0.099	0.01	NA	NA	NA	NA	NA	1.042	0.2
11.7	0.09675	0.119	0.01937	167890	167980	167935	11.682	11.711	11.696	0.09	0.01	NA	NA	NA	NA	NA	1.07	0.2
